Access_No_or_location,Species,Record_number,Unique_identified,Host,Host_code_number,Host_no_host,Height,No_branches,Branches_branched,Nodes_to_flower_inc_coty,No_teeth_lower_floral_leaf,Flower_colour,Corolla _ength,Corolla_width,Standard_corolla_l,Glandular_hairs,Cauline_leaf_teeth,Cauline _leaf_length,Cauline_internode_length,Cauline_ratio,Inferred_flower_date,Flower_date_cal,Julian_days_to_flower,Height_end_season,Peat_no_peat
North Berwick,Euphrasia arctica,49,209,Festuca,2,0,25,0,0,7,3,0,8,4.5,6,0,2,4,1.5,0.375,42559,42559,189,41,0
North Berwick,Euphrasia arctica,51,113,Festuca,2,0,17,0,0,9,3,0,8,5,6,0,2,5,2,0.4,42559,42559,189,50,0
North Berwick,Euphrasia arctica,60,158,Festuca,2,0,24,1,0,9,4,0,9,6,7,0,4,6,2.5,0.416666667,42561,42561,191,54,0
North Berwick,Euphrasia arctica,74,234,Festuca,2,0,27,6,0,12,4,0,8.5,6,7,0,3,7,3,0.428571429,42568,42568,198,56,0
North Berwick,Euphrasia arctica,78,4,Festuca,2,0,22,2,0,10,3,0,9.5,6,7.5,0,3,5,2.5,0.5,42566,42566,196,92,0
North Berwick,Euphrasia arctica,82,203,Festuca,2,0,21,0,0,9,3,0,6,4.5,5.5,0,3,4,3,0.75,42571,42571,201,32,0
North Berwick,Euphrasia arctica,85,244,Festuca,2,0,33,4,0,10,5,0,8.5,6,7,0,4,13,4,0.307692308,42571,42571,201,86,0
North Berwick,Euphrasia arctica,90,54,Festuca,2,0,9,0,0,9,2,0,8,,7,0,2,3,1,0.333333333,42577,42577,207,32,1
North Berwick,Euphrasia arctica,91,36,Festuca,2,0,24,2,0,8,3,0,8,,7,0,2,5,2,0.4,42575,42575,205,45,0
North Berwick,Euphrasia arctica,94,162,Festuca,2,0,15,0,0,10,3,0,7.5,,6.5,0,3,4,1.5,0.375,42577,42577,207,19,1
North Berwick,Euphrasia arctica,106,96,Festuca,2,0,14,0,0,10,3,0,,,7,0,2,4,1,0.25,42590,42590,220,-,1
North Berwick,Euphrasia arctica,107,99,Festuca,2,0,13,0,0,11,3,0,,,6,0,3,4,1.5,0.375,42588,42588,218,23,1
North Berwick,Euphrasia arctica,114,135,Festuca,2,0,12,0,1,10,3,0,,,7,0,3,4,1.5,0.375,42597,42597,227,43,1
North Berwick,Euphrasia arctica,117,63,Festuca,2,0,10,0,0,8,1,0,,,5.5,0,3,2,0.5,0.25,42594,42594,224,5,0
North Berwick,Euphrasia arctica,134,13,Festuca,2,0,11,0,0,10,3,0,,,6.5,0,3,4,1.5,0.375,42603,42603,233,24,0
North Berwick,Euphrasia arctica,150,279,Festuca,2,0,21,1,0,9,3,0,,,6.5,0,3,5,1.5,0.3,42608,42608,238,33,1
North Berwick,Euphrasia arctica,151,45,Festuca,2,0,23,0,0,13,3,0,,,6.5,0,3,4,2.5,0.625,42610,42610,240,46,1
North Berwick,Euphrasia arctica,153,225,Festuca,2,0,12,0,0,10,2,0,,,6,0,2,2.5,1,0.4,42613,42613,243,15,0
North Berwick,Euphrasia arctica,164,107,Festuca,2,0,21,1,0,12,3,0,,,5.5,0,3,3.5,2,0.571428571,42609,42609,239,37,1
North Berwick,Euphrasia arctica,173,26,Festuca,2,0,36,0,0,9,2,0,,,4.5,0,2,4,4,1,42618,42618,248,31,1
North Berwick,Euphrasia arctica,179,189,Festuca,2,0,36,0,0,9,3,0,,,6,0,2,3.5,3,0.857142857,42618,42618,248,33,1
North Berwick,Euphrasia arctica,180,126,Festuca,2,0,27,0,0,12,2,0,,,5,0,2,4,2,0.5,42618,42618,248,21,1
North Berwick,Euphrasia arctica,181,270,Festuca,2,0,15,0,0,10,1,0,,,5,0,1,5,2,0.4,42619,42619,249,16,1
North Berwick,Euphrasia arctica,183,135,Festuca,2,0,12,0,0,10,3,0,,,7,0,3,4,1.5,0.375,42628,42628,258,43,1
North Berwick,Euphrasia arctica,186,63,Festuca,2,0,10,0,0,8,1,0,,,5.5,0,3,2,0.5,0.25,42625,42625,255,5,0
North Berwick,Euphrasia arctica,7,199,Holcus lanatus,5,0,30,4,0,8,4,0,9,6.5,7,0,3,8,3,0.375,42547,42547,177,90,0
North Berwick,Euphrasia arctica,8,155,Holcus lanatus,5,0,24,3,0,7,4,0,9,6.5,7,0,3,7,3,0.428571429,42547,42547,177,69,0
North Berwick,Euphrasia arctica,46,110,Holcus lanatus,5,0,22,4,0,9,3,0,9.5,6,7,0,3,6.5,3,0.461538462,42562,42562,192,90,0
North Berwick,Euphrasia arctica,79,7,Holcus lanatus,5,0,14,0,0,11,3,0,7,5.5,6,0,3,4,1.5,0.375,42567,42567,197,43,0
North Berwick,Euphrasia arctica,99,267,Holcus lanatus,5,0,13,0,0,8,2,0,,,7,0,2,4,1,0.25,42585,42585,215,35,0
North Berwick,Euphrasia arctica,119,285,Holcus lanatus,5,0,16,1,0,9,3,0,,,6,0,2,3,2,0.666666667,42597,42597,227,45,0
North Berwick,Euphrasia arctica,130,222,Holcus lanatus,5,0,13,0,0,11,3,0,,,5.5,0,3,3,1,0.333333333,42598,42598,228,12,0
North Berwick,Euphrasia arctica,135,66,Holcus lanatus,5,0,10,0,0,10,2,0,,,6.5,0,2,4,1.5,0.375,42604,42604,234,16,1
North Berwick,Euphrasia arctica,142,75,Holcus lanatus,5,0,17,0,0,11,2,0,,,6.5,0,2,4,2.5,0.625,42606,42606,236,26,1
North Berwick,Euphrasia arctica,145,93,Holcus lanatus,5,0,13,0,0,11,2,0,,,6,0,2,3,1,0.333333333,42614,42614,244,12,1
North Berwick,Euphrasia arctica,146,39,Holcus lanatus,5,0,8,0,0,9,2,0,,,5.5,0,2,2.5,1.5,0.6,42613,42613,243,8,1
North Berwick,Euphrasia arctica,148,102,Holcus lanatus,5,0,19,0,0,11,2,0,,,6,0,2,2.5,1.5,0.6,42609,42609,239,16,1
North Berwick,Euphrasia arctica,154,276,Holcus lanatus,5,0,27,1,0,11,2,0,,,6.5,0,2,4,2,0.5,42612,42612,242,45,1
North Berwick,Euphrasia arctica,165,57,Holcus lanatus,5,0,13,0,0,9,2,0,,,,0,2,2.5,0.5,0.2,42620,42620,250,12,0
North Berwick,Euphrasia arctica,171,240,Holcus lanatus,5,0,10,0,0,12,1,0,,,6,0,1,1.5,0.5,0.333333333,42628,42628,258,6,0
North Berwick,Euphrasia arctica,176,258,Holcus lanatus,5,0,7,0,0,11,2,0,,,,0,2,2.5,0.5,0.2,42618,42618,248,4,0
North Berwick,Euphrasia arctica,188,285,Holcus lanatus,5,0,16,1,0,9,3,0,,,6,0,2,3,2,0.666666667,42628,42628,258,45,0
North Berwick,Euphrasia arctica,1,228,liverwort,7,0,14,0,0,8,3,0,8.5,5.5,6.5,0,2,5,2.5,0.5,42545,42545,175,26,1
North Berwick,Euphrasia arctica,54,247,liverwort,7,0,9,0,0,8,2,0,6,4.5,4.5,0,2,3.5,1,0.285714286,42563,42563,193,12,0
North Berwick,Euphrasia arctica,140,104,liverwort,7,0,8,0,0,10,1,0,7,,6,0,2,2,1,0.5,42607,42607,237,16,1
North Berwick,Euphrasia arctica,160,237,liverwort,7,0,8,0,0,11,2,0,,,6,0,2,2,0.5,0.25,42610,42610,240,11,0
North Berwick,Euphrasia arctica,168,138,liverwort,7,0,8,0,0,11,2,0,,,,0,2,3,1.5,0.5,42622,42622,252,7,1
North Berwick,Euphrasia arctica,169,152,liverwort,7,0,11,0,0,12,2,0,,,,0,2,2.5,0.5,0.2,42623,42623,253,12,0
North Berwick,Euphrasia arctica,174,255,liverwort,7,0,4,0,0,9,2,0,,,,0,2,2,1.5,0.75,42618,42618,248,1,0
North Berwick,Euphrasia arctica,177,206,liverwort,7,0,17,0,0,9,0,0,,,,0,2,2,1,0.5,42618,42618,248,14,0
North Berwick,Euphrasia arctica,193,87,liverwort,7,0,7,0,0,9,1,0,,,4.5,0,1,1.5,0.5,0.333333333,42638,42638,268,3,1
North Berwick,Euphrasia arctica,62,251,no host,9,1,12,0,0,8,3,0,6.5,4.5,5,0,2,3,1.5,0.5,42562,42562,192,18,0
North Berwick,Euphrasia arctica,116,233,no host,9,1,13,0,0,10,3,0,,,6,0,3,3.5,1,0.285714286,42593,42593,223,16,0
North Berwick,Euphrasia arctica,141,5,no host,9,1,15,0,0,13,2,0,7,,6,0,2,3,1,0.333333333,42606,42606,236,12,0
North Berwick,Euphrasia arctica,149,112,no host,9,1,10,0,0,11,2,0,,,6,0,2,2,1,0.5,42613,42613,243,10,0
North Berwick,Euphrasia arctica,163,259,no host,9,1,11,0,0,10,2,0,,,5.5,0,3,3,0.5,0.166666667,42608,42608,238,-,0
North Berwick,Euphrasia arctica,167,55,no host,9,1,10,0,0,9,1,0,,,5,0,1,1.5,0.5,0.333333333,42621,42621,251,6,1
North Berwick,Euphrasia arctica,182,296,no host,9,1,18,0,0,7,2,0,,,,0,2,2.5,1,0.4,42620,42620,250,#N/A,#N/A
