Access. No. or location,Species,Record number,Unique identified,Host,Host code number,Height,No. branches,Branches branched,Nodes to flower inc coty,No. teeth lower floral leaf,Flower colour,Corolla length,Corolla width,Standard corolla l,Glandular hairs,Cauline leaf teeth,Cauline leaf length,Cauline internode length,Inferred flower date,Flower date cal,Julian days to flower,Height_end_season,Peat_no_peat,Early season growth,Nodes to flower,First flower date,Number of branches
North Berwick,Euphrasia arctica,163,259,no host,9,11,0,0,10,2,0,,,5.5,0,3,3,0.5,26-Aug,42608,238,0,0,6,10,238,0
North Berwick,Euphrasia arctica,165,57,Holcus lanatus,5,13,0,0,9,2,0,,,,0,2,2.5,0.5,07-Sep,42620,250,12,0,,9,250,0
North Berwick,Euphrasia arctica,166,218,Pinus sylvestris,8,17,0,0,9,3,0,,,4.5,0,3,3.5,1,08-Sep,42621,251,14,0,9,9,251,0
North Berwick,Euphrasia arctica,169,152,liverwort,7,11,0,0,12,2,0,,,,0,2,2.5,0.5,10-Sep,42623,253,12,0,7,12,253,0
North Berwick,Euphrasia arctica,171,240,Holcus lanatus,5,10,0,0,12,1,0,,,6,0,1,1.5,0.5,15-Sep,42628,258,6,0,4,12,258,0
North Berwick,Euphrasia arctica,172,160,Pinus sylvestris,8,6,0,0,11,1,0,,,4.5,0,1,1,0.5,16-Sep,42629,259,7,0,4.5,11,259,0
North Berwick,Euphrasia arctica,174,255,liverwort,7,4,0,0,9,2,0,,,,0,2,2,1.5,05-Sep,42618,248,1,0,5,9,248,0
North Berwick,Euphrasia arctica,176,258,Holcus lanatus,5,7,0,0,11,2,0,,,,0,2,2.5,0.5,05-Sep,42618,248,4,0,5,11,248,0
North Berwick,Euphrasia arctica,177,206,liverwort,7,17,0,0,9,0,0,,,,0,2,2,1,05-Sep,42618,248,14,0,6,9,248,0
North Berwick,Euphrasia arctica,185,233,no host,9,13,0,0,10,3,0,,,6,0,3,3.5,1,11-Sep,42624,254,16,0,7,10,254,0
North Berwick,Euphrasia arctica,186,63,Festuca,2,10,0,0,8,1,0,,,5.5,0,3,2,0.5,12-Sep,42625,255,5,0,,8,255,0
North Berwick,Euphrasia arctica,187,62,Arabidopsis thaliana,3,13,0,0,11,3,0,,,6.5,0,2,3,1,14-Sep,42627,257,18,0,,11,257,0
North Berwick,Euphrasia arctica,188,285,Holcus lanatus,5,16,1,0,9,3,0,,,6,0,2,3,2,15-Sep,42628,258,45,0,3,9,258,1
North Berwick,Euphrasia arctica,190,61,Pinus sylvestris,8,10,0,0,10,1,0,,,6,0,2,2,1.5,24-Sep,42637,267,9,0,,10,267,0
North Berwick,Euphrasia arctica,191,269,no host,9,9,0,0,11,1,0,,,4,0,1,2,1,26-Sep,42639,269,4,0,5,11,269,0
North Berwick,Euphrasia arctica,1,228,liverwort,7,14,0,0,8,3,0,8.5,5.5,6.5,0,2,5,2.5,24-Jun,42545,175,26,1,10,8,175,0
North Berwick,Euphrasia arctica,14,133,Trifolium repens,1,34,3,0,7,5,0,10,7,7.5,0,3,14.5,6,28-Jun,42549,179,,1,22,7,179,3
North Berwick,Euphrasia arctica,18,24,Trifolium repens,1,45,6,1,9,4,0,10.5,8,7,0,3,13,5,30-Jun,42551,181,,1,,9,181,6
North Berwick,Euphrasia arctica,30,65,Trifolium repens,1,34,5,1,8,3,0,9.5,3,7,0,3,13,12,06-Jul,42557,187,186,1,,8,187,5
North Berwick,Euphrasia arctica,31,38,Trifolium repens,1,48,6,1,8,4,0,10.5,4,8,0,4,12,10,07-Jul,42558,188,136,1,,8,188,6
North Berwick,Euphrasia arctica,33,169,Trifolium repens,1,34,5,1,8,4,0,11.5,4,9,0,4,11,5,06-Jul,42557,187,142,1,17,8,187,5
North Berwick,Euphrasia arctica,35,38,Trifolium repens,1,48,6,1,8,4,0,9,3,7,0,3,12,8,05-Jul,42556,186,136,1,,8,186,6
